href;firstName;lastName;rank_score_Featherweight;rank_Featherweight
814ff3018127e8fc;Ricky;Glenn;0.0;213
81801f57bd0a7c41;Marcus;Brimage;0.0;214
87aa9fb63d6b51a1;Zabit;Magomedsharipov;0.0;215
3623bd267a2eef2e;Yaotzin;Meza;0.0;216
02f2a9702ba3d167;Artem;Lobov;0.0;217
88cd34d836b4ebcd;Teruto;Ishihara;0.0;218
8a59d346dc976a10;Thiago;Tavares;0.0;219
938ad489fb7a1f31;Levan;Makashvili;0.0;220
8b1ed83b02303075;Taylor;Lapilus;0.0;221
8ce87f7e3a9baed2;Tiago;dos Santos e Silva;0.0;222
35faad160d346839;Mizuto;Hirota;0.0;223
8e5bfd4e82352340;Pablo;Garza;0.0;224
917e53fa0adea0d3;Leonard;Garcia;0.0;225
2f95a3c6d58b2aad;Iuri;Alcantara;0.0;226
029eaff01e6bb8f0;Dustin;Poirier;0.0;227
