href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
6fb1ba67bef41b37;Nik;Lentz;0.0;326
706f8e2b34e8e18b;Anton;Kuivanen;0.0;327
73c7cfa551289285;BJ;Penn;0.0;328
7413b80dbb0f8f9f;Lucas;Martins;0.0;329
75e0d3cc2262b732;Shane;Roller;0.0;330
75e5fec9f72910ef;Gleison;Tibau;0.0;331
764342d39cdaa54a;Frank;Camacho;0.0;332
76729a829623e266;Henry;Martinez;0.0;333
777dea713da2441d;Valmir;Lazaro;0.0;334
84ac950d4c1722dd;Duane;Ludwig;0.0;335
