href;firstName;lastName;rank_score_Middleweight;rank_Middleweight
68c6cd5287b473a7;Dean;Lister;0.0;246
8f2d9ee27f206f1f;Evan;Tanner;0.0;247
91186547a7f3f758;Ricardo;Almeida;0.0;248
92b62174c175ce19;Clint;Hester;0.0;249
92fa1401b7927da3;Jake;Collier;0.0;250
93892752c5fc23ca;Jerry;Bohlander;0.0;251
9450848a71d53776;Lorenz;Larkin;0.0;252
952f6fa06f25a0ec;Carlos;Newton;0.0;253
2f732dd9210d301f;Tito;Ortiz;0.0;254
99bcdf5eac39898f;Jordan;Johnson;0.0;255
99c7610aa74995d3;Cathal;Pendred;0.0;256
18aecaf50f52e4c3;Phillip;Miller;0.0;257
1c86754617d9813a;Roan;Carneiro;0.0;258
85d905f7c4f5a1af;Murilo;Bustamante;0.0;259
1ccf4e7caff270df;Dan;Henderson;0.0;260
6a92caba39b64752;Terry;Martin;0.0;261
1fe7adb23b3eedfb;Yuki;Kondo;0.0;262
1fd4fbdcc67de844;Drew;McFedries;0.0;263
6c2030e0a143a94b;Chris;Camozzi;0.0;264
6dd758d34da8d254;Ron;Stallings;0.0;265
6f018c039b4d5d80;Jon;Fitch;0.0;266
6f7c616b98e18c29;Claudio;Silva;0.0;267
1f454354805b6f75;Anderson;Silva;0.0;268
7339d340aa2889cb;Kyle;Noke;0.0;269
1cf7ccf64a5bf24e;Oskar;Piechota;0.0;270
76ee3d666c648f6b;Charles;Byrd;0.0;271
7a359ef685a304a7;Amaury;Bitetti;0.0;272
7a703c565ccaa18f;Jacare;Souza;0.0;273
00debc804e2b1cd4;Dylan;Andrews;0.0;274
7c35f869033901ae;Riki;Fukuda;0.0;275
7c6e87729e824ef4;Ildemar;Alcantara;0.0;276
7e47047d0971d566;Daniel;Sarafian;0.0;277
7f955f71fa2ce7ac;Alessio;Sakara;0.0;278
80e6d71e14c1d356;Joe;Slick;0.0;279
817e0bdf08efce2e;Elvis;Sinosic;0.0;280
82e7929bf6c2b689;Diego;Sanchez;0.0;281
9583662df31d943f;Luigi;Fioravanti;0.0;282
