href;firstName;lastName;rank_score;rank_score
4b47e71384a9522f;Tim;Means;33.25;160
6ac9bc2953c47345;Gerald;Meerschaert;32.7;161
886264a0c9f4ea5e;Andre;Muniz;32.56;162
97cf1a2c7c5e7889;Steve;Garcia;30.85;163
681399317dbf4701;Uros;Medic;30.75;164
b6452706b373eea1;Renato;Moicano;30.6;165
751de04455cfaac0;Calvin;Kattar;30.45;166
d945aae53e3e54e6;Thiago;Moises;30.42;167
58bbef3770bb2dfc;Joel;Alvarez;30.34;168
53c943c873cffe90;Philipe;Lins;30.25;169
f0feeb2192937424;Angela;Hill;30.17;170
76e2870ffafbe38f;Movsar;Evloev;30.15;171
093e1f5bb73850be;Anthony;Hernandez;30.08;172
f166e93d04a8c274;Diego;Lopes;30.03;173
853eb0dd5c0e2149;Kai;Kara-France;29.77;174
0845c81e37d3bcb3;Volkan;Oezdemir;29.73;175
d3f5d33d61cd00c9;Norma;Dumont;29.26;176
f1d64ae34e088832;Charles;Jourdain;28.87;177
262d32ebda89efc4;Natalia;Silva;28.71;178
b0d6a1d8ac3d563d;Max;Griffin;28.53;179
d1941565abf50b16;Jim;Miller;28.49;180
447f9858ae78f921;Muslim;Salikhov;28.15;181
329e403448756217;Nathaniel;Wood;28.04;182
c0badf3243907e59;Alexandr;Romanov;27.93;183
0232cabbc30a2372;Adrian;Yanez;27.87;184
f626118b6da0e020;Bryan;Battle;27.57;185
dc9572dd6ec74859;Colby;Covington;27.51;186
6bd02119599741a4;Pedro;Munhoz;27.38;187
7026eca45f65377b;Jared;Gordon;27.31;188
a67f5afa8d6a1b80;Ryan;Spann;27.27;189
5987b2458f4b5290;Ricky;Simon;26.9;190
7f6ed67d3ed3c036;Cody;Durden;26.52;191
583ee11abddfc581;Nate;Landwehr;26.39;192
396fe87b84ac2e1c;Lerone;Murphy;26.27;193
92a9aa9c93192871;Darren;Elkins;26.17;194
a495f599e787614f;Alonzo;Menifield;26.13;195
68d4a891e5cf2029;Tracy;Cortez;25.75;196
e64b96c07d7ce999;Li;Jingliang;25.75;197
d7c3816669784109;Karolina;Kowalkiewicz;25.63;198
cc7040fe76f0ef91;Devin;Clark;25.48;199
b9706f80d005036c;Ketlen;Vieira;25.44;200
6fd953151d981979;JJ;Aldrich;25.33;201
c849740a3ff51931;TJ;Dillashaw;25.32;202
1e719d4b676dc19a;Brunno;Ferreira;24.76;203
a78a87d8c2bbb1cb;Julija;Stoliarenko;24.69;204
5fa2974cbd18e05c;John;Castaneda;24.57;205
113df4fde64735c6;Davey;Grant;24.5;206
4aa58269d0664b5b;Matthew;Semelsberger;24.24;207
4e06913c91da5200;Krzysztof;Jotko;24.05;208
e132d47bd9efbbe0;Rafa;Garcia;24.01;209
6551c64fbcd1a467;Ariane;Lipski;23.93;210
902ec2cc48c8ae8a;Julian;Erosa;23.56;211
262a7d06203657e6;Alexander;Hernandez;23.53;212
809bd1a871491508;Terrance;McKinney;23.47;213
f7467152fd9f18a2;Taila;Santos;23.42;214
971246648e162f0d;Chase;Hooper;23.42;215
af9f42e6894047fc;Jamie;Mullarkey;23.4;216
a845f0735bc67405;Jake;Matthews;23.36;217
5ec591b78349ba7e;Christian;Rodriguez;23.22;218
2558ae2e5671e318;Khaos;Williams;23.2;219
04835018f90b118c;Casey;O'Neill;23.05;220
dd6103dd7127db1d;Mike;Malott;22.96;221
9d62c2d8ee151f08;Karine;Silva;22.91;222
b07aed698fba8624;Ikram;Aliskerov;22.64;223
cc8c623cca88f54f;Mayra;Bueno Silva;22.52;224
0c6d9ea8306c029e;Brad;Tavares;22.4;225
1a31ef98efce7a79;Matheus;Nicolau;22.32;226
5b86d491d63890c5;Ludovit;Klein;22.3;227
294aa73dbf37d281;Bruno;Silva;22.24;228
a9e260472d321361;Jasmine;Jasudavicius;22.18;229
cc1a8b4b38b92c6d;Montel;Jackson;21.87;230
60425d07ef4b91a7;Kyler;Phillips;21.78;231
d247691a6c0e9034;Cub;Swanson;21.71;232
a93f94c923c3a9cb;Christian Leroy;Duncan;21.5;233
8eb046f83e82bf26;Martin;Buday;21.44;234
d0aaedcf7ccd0b45;Chris;Daukaus;21.43;235
b8bbdeff718dbb7d;Pat;Sabatini;21.4;236
1a9480fc288e55d7;Don'Tale;Mayes;21.26;237
49d2a08964c5eb11;Nursulton;Ruziboev;21.24;238
06734ca9d88dec3a;Shara;Magomedov;21.21;239
b8a85389d115e35a;Jack;Shore;20.82;240
fd55393021a8c255;Gunnar;Nelson;20.81;241
578ef12674df1e6a;Irene;Aldana;20.67;242
bf2c8e01b07d3eb1;Myktybek;Orolbai;20.43;243
10f3ba6cd2f44a97;Dominick;Cruz;20.43;244
d2f43cfaf8ca3560;Fernando;Padilla;20.35;245
4148802ae4a50768;Daniel;Zellhuber;20.28;246
98d961097baaf308;Shane;Burgos;20.21;247
8e382b585a92affe;Phil;Rowe;20.19;248
01641ba5df0c69b0;Gabriel;Bonfim;20.08;249
6370c1c1e12723d5;Marcin;Prachnio;19.98;250
cd13728ae1151f46;Ion;Cutelaba;19.97;251
850266b3dc4e506e;Daniel;Marcos;19.79;252
8f765fd5775a8873;Rinat;Fakhretdinov;19.75;253
ffe9703408fb5964;David;Onama;19.62;254
abcf2cc6efc42031;Iasmin;Lucindo;19.47;255
d28dee5c705991df;Stipe;Miocic;19.38;256
3a314d9fa7c6825d;Douglas;Silva de Andrade;19.33;257
51018a31ddf31eb2;Molly;McCann;19.16;258
48a9a128784d53d1;Elves;Brener;19.04;259
e13abac8089a801a;Justin;Tafa;18.98;260
d747eb273a40a920;Claudio;Puelles;18.97;261
31123249b0bbf52e;Matt;Brown;18.95;262
46e0d677f91bacc0;Miles;Johns;18.86;263
3738e68d2261e60f;Andrei;Arlovski;18.55;264
4461d7e47375a895;Tatsuro;Taira;18.54;265
6751eacd16bd59bc;Josh;Culibao;18.5;266
33efaf2d0941cfcf;Andre;Fialho;18.35;267
af65aa688d13eedf;Joe;Solecki;18.29;268
0a73acff6325c1e2;Shayilan;Nuerdanbieke;18.28;269
c68c68efaa5ca6ef;Chidi;Njokuani;18.27;270
f14f644d41ade29f;Cody;Brundage;18.18;271
369ea36e450ae62a;Armen;Petrosyan;18.17;272
31f8081c7600da93;Kyle;Nelson;17.9;273
260e9e0d4954aea6;Rodolfo;Vieira;17.79;274
94426bb170c88115;Sodiq;Yusuff;17.56;275
ff62013d2fce6d13;Nazim;Sadykhov;17.54;276
6e9f40c706f91f32;Nate;Maness;17.5;277
5d1b7e3dd9e11074;Manel;Kape;17.24;278
b67d6bacc68d4c92;Daniel;Santos;17.14;279
fc08099550072fe4;Waldo;Cortes-Acosta;17.08;280
333b9e5c723ac873;Aleksandar;Rakic;16.91;281
2c483cf443f38ece;Vanessa;Demopoulos;16.8;282
c451d67c09c55418;Chan Sung;Jung;16.67;283
c58f51dedb310998;Michael;Chiesa;16.65;284
f53d4f21d1b5f2dc;Diego;Ferreira;16.54;285
bbab3baf66128ae2;Javid;Basharat;16.5;286
ea7e5bc78d9de658;Makhmud;Muradov;16.49;287
cad24459b28592ca;Eryk;Anders;16.39;288
19c591115a58982c;Viacheslav;Borshchev;16.32;289
2f6a993c7f547c13;Sergey;Morozov;16.24;290
8d3273573b85be09;Assu;Almabayev;16.13;291
c0ac37a4a1133da9;Marcus;McGhee;16.1;292
cffb87059e645bd1;Denise;Gomes;16.09;293
8c57c7b8c3bab0eb;Nicolae;Negumereanu;15.96;294
04c8b08b16a5b99e;Tanner;Boser;15.93;295
e4a47b07044ddd72;Ignacio;Bahamondes;15.86;296
b1d19449397541dc;Askar;Askarov;15.77;297
2e7878927067fdca;Manuel;Torres;15.73;298
5bf31a46becc1204;Michael;Trizano;15.59;299
da7f113b5ea39c43;Mohammed;Usman;15.54;300
a7897d200692ab64;Kyung Ho;Kang;15.51;301
9673a497a9da119a;Polyana;Viana;15.45;302
35673bf5204524ee;Bo;Nickal;15.39;303
6d68c1afe954f121;Ode;Osbourne;15.34;304
d31cbcdd7d69536d;TJ;Brown;15.3;305
eb393afdbe3293d5;Ismael;Bonfim;15.29;306
32ab52e5de93092d;Steve;Erceg;15.17;307
05fa626cb33d15b8;Andrea;Lee;15.14;308
476fe566d2df676e;Modestas;Bukauskas;15.1;309
1e4f273069fb9e85;Fares;Ziam;14.89;310
37ed1ab2f8b819f4;Brad;Riddell;14.78;311
e0c6edcb5b5d0b90;Chepe;Mariscal;14.7;312
60a42bf82447c919;Jake;Hadley;14.65;313
a331233f597090a5;Bryan;Barberena;14.62;314
849c5d9979df5357;Mateusz;Rebecki;14.61;315
84ff027394f7e470;Gregor;Gillespie;14.6;316
3c8a5200436e19f3;Cameron;Saaiman;14.57;317
729d4bd5a6cd0a97;Lauren;Murphy;14.48;318
c47df9303d318c67;Clay;Guida;14.48;319
e9a3aeb207578eea;Ilir;Latifi;14.46;320
5e6294b37bbef029;Stephanie;Egger;14.23;321
c96d9178c9ed9e62;Tim;Elliott;14.23;322
da0995f19b749cfa;Mark;Madsen;14.17;323
8355922d564b152c;Nate;Diaz;14.07;324
6e00cfffd54653c4;Tyson;Nam;14.01;325
fe2babf95de24fb1;Raul;Rosas Jr.;14.01;326
b1e5bcaad32a3cac;Priscila;Cachoeira;13.99;327
1788eee370f077b7;Blagoy;Ivanov;13.9;328
a68575214ecad140;SeungWoo;Choi;13.9;329
91dac5e69e28d5b5;Pannie;Kianzad;13.89;330
6b7c7460855dbbb9;Albert;Duraev;13.78;331
5da33b8fbfa5ee95;William;Knight;13.78;332
49e96ff8ab781589;Tyson;Pedro;13.68;333
103e2e33a60683e1;Irina;Alekseeva;13.62;334
eb8d8c2a95cfccb8;Victor;Henry;13.62;335
24656ef4d605c96f;Aiemann;Zahabi;13.62;336
3351aa64aa83c4d9;Cory;McKenna;13.62;337
de45aaae23dfa392;Christos;Giagos;13.43;338
ac026518a9b4dc0f;Jordan;Leavitt;13.33;339
7a5e8c94a86f9895;Chris;Barnett;13.25;340
f00ac08ab056af5d;Tagir;Ulanbekov;13.03;341
c15fa95b9a12fde4;Junior;Tafa;13.0;342
351c4ec637380ad5;Karol;Rosa;12.94;343
cbb682f5fcc44bfc;Anthony;Pettis;12.94;344
eae431e70064e046;Abdul;Razak Alhassan;12.93;345
866fd7b1a6c90e7f;Dusko;Todorovic;12.7;346
7af33fc4435017f1;Brady;Hiestand;12.66;347
da22387a0407a2dc;Da'Mon;Blackshear;12.5;348
511e82663651438d;Michael;Johnson;12.44;349
4e6738062d469256;Sedriques;Dumas;12.28;350
361d49960a196976;Daniel;Pineda;12.24;351
b4192a975027aab6;Maryna;Moroz;12.21;352
dea070ed4a2a8281;Thiago;Santos;12.18;353
d4270315cbcf2569;Jacob;Malkoun;12.0;354
f2925e6db404bf1d;Robbie;Lawler;11.98;355
a4a80dd7336ffd59;Melissa;Gatto;11.93;356
950d0ef5c17157c5;Maxim;Grishin;11.77;357
4e30e4250cb08b61;Loma;Lookboonmee;11.75;358
547afe1017e72dbe;Phil;Hawes;11.7;359
d05412b513b19621;Guido;Cannetti;11.67;360
bf7ad5628363eec9;Cody;Stamann;11.53;361
74f9448b97bf8bec;Da Woon;Jung;11.05;362
3920d0cc288f9b0d;Francisco;Prado;11.01;363
d35f734c56a89103;Karl;Williams;10.95;364
fd406a32a6fb3a29;Chris;Duncan;10.91;365
4c88a1db5a46c6a4;Jai;Herbert;10.84;366
af9efbfd63d39734;Chelsea;Chandler;10.81;367
e1d40e8782d80bc2;William;Gomis;10.78;368
ca43de99b07b6b40;Josh;Fremd;10.73;369
2c5f5749569eef66;Tainara;Lisboa;10.73;370
50a28b9f8314e008;Saidyokub;Kakhramonov;10.65;371
601964f9654f911a;Tony;Gravely;10.57;372
64facb6cc564262d;Punahele;Soriano;10.52;373
ac7c765882f2c68c;Elise;Reed;10.52;374
57186c150c645200;Jeka;Saragih;10.44;375
7cbf7c78d3b34218;Drakkar;Klose;10.39;376
a52bc1e62cf0b7c6;Melsik;Baghdasaryan;10.34;377
68d35296f566792b;Josiane;Nunes;10.31;378
a09ed60aa67a3f67;Farid;Basharat;10.26;379
4dcfb28c011c11b2;Wellington;Turman;10.26;380
6c9b66b43663f2f7;Viktoriia;Dudakova;10.25;381
634e2fb70bde3fd5;Holly;Holm;10.25;382
82b4e942781b1046;Raulian;Paiva;10.15;383
ac40f7e3cbecdda4;Parker;Porter;10.13;384
32c355b04fc57f3a;Marc;Diakiese;10.11;385
bd532e9a2b93870c;Melissa;Dixon;9.97;386
0bc697c5936a2d0a;Trevor;Peek;9.96;387
d8c811df0386d5e8;Rinya;Nakamura;9.84;388
65578a75fa7900e3;Uriah;Hall;9.78;389
e375cb5caf4717b6;Piera;Rodriguez;9.72;390
