href;firstName;lastName;rank_score_Welterweight;rank_Welterweight
fcce75a25c14a804;Bojan;Velickovic;0.0;152
fd5b6598a3b70c0a;Seth;Baczynski;0.0;153
fe435e440b5de0ff;Jake;Shields;0.0;154
fea8acf9bfcf09ec;Simeon;Thoresen;0.0;155
e2ccd9a9ace60de7;Aleksei;Kunchenko;0.0;156
e2b8186b618b00c4;Shamar;Bailey;0.0;157
e17ac6410c8377f4;Bartosz;Fabinski;0.0;158
d023ae89a2a4a41e;Matthew;Riddle;0.0;159
b7ffa72aa148599a;KJ;Noons;0.0;160
c03a5022f8439f2a;Chad;Laprise;0.0;161
c06a9b48d4132c8e;James;Moontasri;0.0;162
c24b1db4b809d41b;Renato;Verissimo;0.0;163
c3ea8deeba00462b;Pete;Spratt;0.0;164
c4b9296214f4c09c;Jason;Von Flue;0.0;165
c4fe2e9a06ea5bcb;Ben;Alloway;0.0;166
c9f6385af6df66d7;Papy;Abedi;0.0;167
cb139171ed1b69fe;Kenny;Florian;0.0;168
cbd5d3cdd862e90e;Rory;MacDonald;0.0;169
ccd1299e0345e0ce;Melvin;Guillard;0.0;170
952f6fa06f25a0ec;Carlos;Newton;0.0;171
cedfdf8d423d500c;Pat;Miletich;0.0;172
d06f8869449ba7bd;Alexander;Yakovlev;0.0;173
e1147d3d2dabe1ce;Robert;Whittaker;0.0;174
d0c29452d3272603;Dan;Miller;0.0;175
d1a1314976c50bef;Josh;Neer;0.0;176
d221ee27afc7a60e;Viscardi;Andrade;0.0;177
d2d37e8eeb3abc8d;Frank;Trigg;0.0;178
d512d9f204059f57;Joe;Riggs;0.0;179
d5f820c11a121050;Aaron;Simpson;0.0;180
d814f5192e58fb2f;Drew;Fickett;0.0;181
d81ac739417d7f53;Jake;Ellenberger;0.0;182
db1f2ed63b54b9a7;Hector;Lombard;0.0;183
dbea8c1cb327ab3d;Igor;Araujo;0.0;184
dd37fd509af89f15;Josh;Koscheck;0.0;185
dd992d569aaebee6;Jesse;Taylor;0.0;186
de62052b2ede65ba;Matt;Arroyo;0.0;187
9583662df31d943f;Luigi;Fioravanti;0.0;188
8a8a84b743ae7699;Dennis;Hallman;0.0;189
94508d80e1f885fc;Augusto;Montano;0.0;190
303a05a7aa3ff761;Richard;Walsh;0.0;191
349aaa3da11eb587;Karo;Parisyan;0.0;192
32ba186f4b0e3267;Brian;Ebersole;0.0;193
322a56923b396b4d;DaMarques;Johnson;0.0;194
31ee470ef5dc8d7f;Thiago;Alves;0.0;195
31ceaf0e670c1578;Gil;Castillo;0.0;196
30a09e43f15f1d75;Paulo;Thiago;0.0;197
2f3f12002564bb55;Steve;Bruno;0.0;198
2650e2f846a30f64;Amir;Sadollah;0.0;199
2ebfbe72ed703925;Tristan;Connelly;0.0;200
2e25c1d983c26311;Colton;Smith;0.0;201
2c64c035485906aa;Nah-Shon;Burrell;0.0;202
2aa49b3766a59bcd;Jordan;Mein;0.0;203
2961be02cfb0d2c1;Roman;Mitichyan;0.0;204
28f3c2258a1d8874;John;Hathaway;0.0;205
365fee2da473b177;Anthony;Johnson;0.0;206
3ae10ac4df3df05c;Jesse;Lennox;0.0;207
3bb2dc8e87b10a46;David;Zawada;0.0;208
3dc3022232b79c7a;Brian;Foster;0.0;209
3f1d23b01c552a13;Michael;Graves;0.0;210
427b5953ac8e3a27;Demian;Maia;0.0;211
4665f9f909cd7214;Shinsho;Anzai;0.0;212
473ce3aa581251a2;Dan;Hardy;0.0;213
47b9e0e7703a4868;Jorge;Masvidal;0.0;214
47cd337b86b1af92;Zak;Ottow;0.0;215
480b702debcb5433;Dan;Cramer;0.0;216
484acc7b0f856ce9;Ben;Saunders;0.0;217
494b0bfdbac74502;Brendan;O'Reilly;0.0;218
49858bf46dabf6fb;Nordine;Taleb;0.0;219
4b1d46a1b5c0fd11;Alberto;Mina;0.0;220
4b8fb0453a596b8e;Hector;Urbina;0.0;221
4ba8d454f762005d;Zak;Cummings;0.0;222
2676b28836a5a836;Benson;Henderson;0.0;223
263ebd4a669e1e98;Fabiano;Iha;0.0;224
4c7781da8c6cae93;Ryan;LaFlare;0.0;225
0d506315895efffc;Sean;Pierson;0.0;226
16690d100f995f8f;Omari;Akhmedov;0.0;227
15ec018d144710db;Nathan;Coy;0.0;228
159da492e000afbf;Leandro;Silva;0.0;229
1588b787bda7b540;Tom;Breese;0.0;230
103b06d8707895a9;Emil;Meek;0.0;231
0d8011111be000b2;Sean;Strickland;0.0;232
0c9c0a43d3f3f49d;Marcelo;Guimaraes;0.0;233
23a16ebe733e3041;Rory;Markham;0.0;234
0b31f87be71ebbb1;Ben;Askren;0.0;235
0941df56f6ac954b;Johny;Hendricks;0.0;236
0749d968e932df53;Tarec;Saffiedine;0.0;237
0359313549d230a1;Pete;Sell;0.0;238
029880cdbf5ca089;Sean;Sherk;0.0;239
01b39decaf0abf6a;Benji;Radach;0.0;240
