href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
98a6b2361045898f;Dong Hyun;Ma;0.0;169
c3ded6f7155f9ea4;Alex;Da Silva;0.0;170
f7d73e452b064bf2;Danny;Henry;0.0;171
daf1b84aebd6602b;Roger;Huerta;0.0;172
b7ffa72aa148599a;KJ;Noons;0.0;173
cf9d24e4bd0cf2ce;Mark;Bocek;0.0;174
b0a6124751a56bc4;Jonathan;Brookins;0.0;175
b19fc66613dc75b9;Chris;Brennan;0.0;176
f046d724d2a84ac5;Desmond;Green;0.0;177
b406da701c479076;Ernest;Chavez;0.0;178
b45d6b73f4ca4467;Andre;Winner;0.0;179
b6e6c3b1dcaae0a1;Will;Brooks;0.0;180
d7b2c0b53883ee80;Kyle;Watson;0.0;181
d74cba8566291bfa;Junie;Browning;0.0;182
b8aef0faf4ce9b31;Sam;Sicilia;0.0;183
c17041f1bb5768d8;Alex;White;0.0;184
be0b310a12eb80b4;Enrique;Barzola;0.0;185
bf43fed8f29e1671;Marcin;Held;0.0;186
bfc2fc38a0e20211;Matt;Grice;0.0;187
f2688492b9a525a3;Frankie;Edgar;0.0;188
c03a5022f8439f2a;Chad;Laprise;0.0;189
c06a9b48d4132c8e;James;Moontasri;0.0;190
d403b1a6f278c95e;Vagner;Rocha;0.0;191
c07efc18b231f170;Jordan;Rinaldi;0.0;192
c136b2a8852da5bd;Akbarh;Arreola;0.0;193
c58f51dedb310998;Michael;Chiesa;0.0;194
0052de90691d4a93;Davi;Ramos;0.0;195
97a6bbe6e6566a94;Francisco;Trevino;0.0;196
31a13532e724ca2b;Stevie;Ray;0.0;197
3bad7ef643840f67;Joe;Lauzon;0.0;198
3956bdc8ab2e54b3;John;Gunther;0.0;199
37b1696e6d115957;Rolando;Delgado;0.0;200
33a331684283900f;Eddie;Alvarez;0.0;201
33011768c3c4dc9a;Terry;Etim;0.0;202
31d7446b184e3305;Magomed;Mustafaev;0.0;203
2f732dd9210d301f;Tito;Ortiz;0.0;204
3c0437fbeda06962;George;Roop;0.0;205
2db7fa8db6bc9632;Shane;Nelson;0.0;206
28f62d866c59c709;Waylon;Lowe;0.0;207
282fa667ff9c51ed;Cole;Miller;0.0;208
2816ced060a21be3;Nick;Hein;0.0;209
275cafc9de131c83;Dave;Menne;0.0;210
2747c60e42d9d75f;David;Teymur;0.0;211
